Code,P_m (bar),acquisition time (s),assemblage,state,heater voltage (V),T (C),T (K),T error,NaCl_111,NaCl_111_error,NaCl_200,NaCl_200_error,NaCl_220,NaCl_220_error,NaCl_222,NaCl_222_error,NaCl_420,NaCl_420_error,NaCl_422,NaCl_422_error,NaCl_Vm (1e-6 m^3 pfu),NaCl_Vm_error (1e-6 m^3 pfu),P_300 (GPa),P_300_error (GPa),P_tot (GPa),P_tot_error (GPa)
399004,20,60,Hg + NaCl,solid,51,71.2,344.35,1,2.84649,0.00319428,3.28731,0.00320808,4.65302,0.00149501,5.6948,0.00244256,7.35262,0.00175594,8.05628,0.00272888,25.27288207387616,0.025639501,1.8990221435439767,0.140542775,,
399027,21,60,Hg,solid,66,97.85,371,1.2,,,,,,,,,,,,,,,,,,
399025,21,60,Hg,solid,66,94.85,368,1.8,,,,,,,,,,,,,,,,,,
399023,21,60,Hg,solid,62,90.8,363.95,1.2,,,,,,,,,,,,,,,,,,
399028,21,60,Hg,solid,66,99.7,372.85,1.2,,,,,,,,,,,,,,,,,,
399024,21,60,Hg,solid,63,92,365.15,1,,,,,,,,,,,,,,,,,,
399029,21,60,Hg,solid,66,100.15,373.3,1.1,,,,,,,,,,,,,,,,,,
399040,21,60,Hg + NaCl,liquid,72,112.6,385.75,1,2.85752,0.00301544,3.29679,0.00287102,4.66647,0.00116243,5.71278,0.00247738,7.3774,0.00170445,8.08175,0.00287331,25.0350804,0.02665793,2.224345165327064,0.13683460817562995,,
399031,21,60,Hg,solid,68,103.15,376.3,1.1,,,,,,,,,,,,,,,,,,
399032,21,60,Hg,liquid,69,105.25,378.4,1.2,,,,,,,,,,,,,,,,,,
399037,21,60,Hg + NaCl,liquid,69,106.45,379.6,1.1,2.85371,0.00315512,3.2957,0.00294176,4.66451,0.000619457,5.7131,0.00185367,7.37728,0.00176871,8.08253,0.00281317,25.027845127277377,0.026089895,2.1908179398471987,0.13591437882870983,,
399038,21,1200,Hg,liquid,69,106.65,379.8,1.1,,,,,,,,,,,,,,,,,,
399039,21,60,Hg + NaCl,liquid,69,106.7,379.85,1,2.85214,0.00390352,3.29746,0.00239365,4.6652,0.00111767,5.71293,0.00204265,7.37876,0.00183075,8.08459,0.00269858,25.00875001027439,0.025001677,2.200493007,0.14747484025080446,,
399022,21,60,Hg,solid,62,89.55,362.7,1.2,,,,,,,,,,,,,,,,,,
399030,21,60,Hg,solid,67,101.65,374.8,1.1,,,,,,,,,,,,,,,,,,
399021,21,60,Hg,solid,62,88.2,361.35,1.2,,,,,,,,,,,,,,,,,,
399026,21,60,Hg + NaCl,solid,66,96.25,369.4,1.4,2.85002,0.00306149,3.29386,0.00305168,4.66247,0.00158378,5.70712,0.00259613,7.37015,0.00194177,8.0772,0.0030955,25.077341840947337,0.028784099,2.1062907155155908,0.14068592575937708,,
399019,21,60,Hg,solid,62,86.05,359.2,1.5,,,,,,,,,,,,,,,,,,
399005,21,60,Hg + NaCl,solid,51,71.2,344.35,1,2.84979,0.00361121,3.28682,0.0022689,4.65581,0.00145613,5.69775,0.00229763,7.3578,0.00155827,8.06011,0.00312064,25.236931050195786,0.029264658,1.9538096526079807,0.13852624235068683,,
399006,21,60,Hg,solid,51,71.2,344.35,1,,,,,,,,,,,,,,,,,,
399009,21,60,Hg,solid,54,75,348.15,1,,,,,,,,,,,,,,,,,,
399010,21,60,Hg,solid,55,76,349.15,1,,,,,,,,,,,,,,,,,,
399011,21,60,Hg,solid,56,77.5,350.65,1,,,,,,,,,,,,,,,,,,
399012,21,60,Hg,solid,56,78.8,351.95,1,,,,,,,,,,,,,,,,,,
399008,21,60,Hg,solid,53,74,347.15,1,,,,,,,,,,,,,,,,,,
399014,21,60,Hg,solid,57,80.8,353.95,1,,,,,,,,,,,,,,,,,,
399015,21,60,Hg,solid,58,82.2,355.35,1,,,,,,,,,,,,,,,,,,
399020,21,60,Hg + NaCl,solid,62,87.5,360.65,1.2,2.85015,0.00303627,3.29353,0.00237267,4.65616,0.000619866,5.70542,0.00172756,7.36878,0.00163669,8.0719,0.00290416,25.12668962527366,0.027075854,2.0630804226920323,0.1226398400859695,,
399016,21,60,Hg + NaCl,solid,58,82.7,355.85,1,2.85049,0.00233409,3.29342,0.0021018,4.65585,0.000581295,5.70561,0.00167516,7.36792,0.00151114,8.07357,0.00291232,25.111126440073495,0.027129481,2.065481919784188,0.10286489687210523,,
399013,21,60,Hg + NaCl,solid,56,79.1,352.25,1,2.84893,0.00234333,3.29106,0.00238832,4.65557,0.000514348,5.70571,0.00160485,7.36844,0.00150596,8.07177,0.00289068,25.127901670858765,0.026951914,2.0409768212253194,0.10623750572658286,,
399017,21,60,Hg,solid,58,83,356.15,1,,,,,,,,,,,,,,,,,,
399018,21,60,Hg,solid,59,84.5,357.65,1,,,,,,,,,,,,,,,,,,
399041,23,60,Hg + NaCl,liquid,73,114,387.15,1,2.85732,0.00251755,3.30235,0.00253696,4.67396,0.00108822,5.71985,0.00217126,7.38677,0.00150037,8.09086,0.00261999,24.950749960091883,0.024198435,2.3433440160193744,0.11954410610993678,,
